frame	complex	receptor	ligand	dG
115	-22777.93753064	-5863.22053344	-16847.80873496	-66.90826224000193
116	-22871.57842632	-5882.250898400001	-16914.206672239998	-75.12085568000111
117	-22726.379584479997	-5828.81721776	-16837.139582	-60.42278471999816
118	-22728.565734	-5862.922217120001	-16808.17453328	-57.468983599999774
119	-22714.765356080003	-5853.226858399999	-16803.34037872	-58.19811896000465
120	-22712.14137872	-5876.70798552	-16775.59133832	-59.84205488000225
121	-22660.681666160002	-5843.225435599999	-16752.68133848	-64.77489208000407
122	-22679.720842	-5872.991199200001	-16744.10667216	-62.62297063999722
123	-22642.82817552	-5890.55023032	-16684.17955416	-68.09839103999911
124	-22671.40215	-5841.08871696	-16774.632474240003	-55.680958799999644
125	-22679.565711040002	-5864.7933438400005	-16769.453352239998	-45.319014960005006
126	-22706.42311736	-5903.365361759999	-16736.79188256	-66.26587303999986
127	-22684.84209104	-5841.91603896	-16783.05713048	-59.86892159999843
128	-22774.231079920002	-5868.57719496	-16832.65714608	-72.99673888000325
129	-22720.416300399997	-5859.120859840001	-16784.8460796	-76.44936095999583
130	-22723.9420756	-5884.7384728	-16771.351221279998	-67.85238152000238
131	-22712.99865848	-5895.130618720001	-16749.42443672	-68.44360303999565
132	-22684.082798639996	-5847.175487840001	-16776.08418272	-60.82312807999551
133	-22671.18225816	-5851.861274079999	-16739.82703936	-79.49394472000131
134	-22667.54557384	-5877.53557008	-16727.27614488	-62.73385888000121
135	-22731.51883312	-5880.29961384	-16786.04919264	-65.17002664000029
136	-22690.476425679997	-5895.45667488	-16727.4298224	-67.589928399997
137	-22808.592427999996	-5901.19872696	-16846.05730224	-61.33639879999828
138	-22746.40984744	-5859.039242399999	-16819.59938536	-67.7712196800021
139	-22754.735812719995	-5897.01593256	-16795.48810136	-62.23177879999639
140	-22702.87028352	-5865.50063368	-16778.973182960002	-58.3964668799963
141	-22704.584491440004	-5865.280120720001	-16783.160363600004	-56.14400712000133
142	-22776.250261200003	-5863.4031016	-16853.23254344	-59.61461616000088
143	-22668.820589439998	-5889.608653360001	-16713.392528720004	-65.81940735999524
144	-22726.01196536	-5862.17731368	-16794.768432719997	-69.06621896000433
145	-22766.28666464	-5895.9354384	-16792.49820544	-77.8530208000011
146	-22726.56962736	-5870.75107184	-16793.148832000003	-62.669723519997206
147	-22689.64577872	-5846.36825008	-16769.06963576	-74.20789288000378
148	-22699.420248	-5859.570113839999	-16775.013506559997	-64.83662760000152
149	-22754.525103279997	-5876.09801912	-16808.868944719998	-69.55813943999965
150	-22748.669868639998	-5905.708714960001	-16765.96716864	-76.99398503999691
151	-22831.192378959997	-5895.75156448	-16859.23517072	-76.20564375999675
152	-22669.212888479997	-5871.0449110399995	-16722.475760240002	-75.69221719999405
153	-22749.305781360003	-5865.1797828	-16812.877790000002	-71.24820856000224
154	-22761.71041544	-5892.92200728	-16796.58410592	-72.20430223999938
155	-22762.351216879997	-5839.43971416	-16858.7010448	-64.21045791999495
156	-22821.263302640004	-5888.591669040001	-16873.11415248	-59.557481120002194
157	-22860.26175528	-5903.533856	-16887.90307696	-68.82482231999893
158	-22784.97955616	-5867.09656752	-16837.0982372	-80.78475144000186
159	-22765.70199248	-5875.430135119999	-16811.29791528	-78.97394207999969
160	-22750.548429360006	-5856.69537936	-16825.76116712	-68.09188288000587
161	-22727.8445872	-5880.6905353600005	-16785.356151519998	-61.797900320001645
162	-22827.201394	-5890.0492059200005	-16866.3196484	-70.83253967999917
163	-22829.4232032	-5875.46579376	-16895.35317552	-58.604233920003026
164	-22814.815554959998	-5894.77093728	-16839.46514872	-80.57946895999703
165	-22702.373541439996	-5848.31044312	-16793.4631684	-60.59992991999388
166	-22704.165928879996	-5864.1293961599995	-16772.84663768	-67.1898950399991
167	-22621.226457040004	-5848.61356872	-16701.8184004	-70.79448792000403
168	-22748.533572640004	-5886.06757072	-16785.676924	-76.7890779200061
169	-22730.258532	-5848.88309832	-16812.75223832	-68.62319535999995
170	-22754.237538080004	-5890.29808056	-16789.60373632	-74.33572120000463
171	-22707.33670136	-5858.793358240001	-16764.37867672	-84.16466639999999
172	-22739.51004728	-5864.70610888	-16806.0156924	-68.78824600000007
173	-22723.00077448	-5865.773642239999	-16796.19821944	-61.02891279999676
174	-22780.73614704	-5875.53898216	-16829.03256232	-76.16460255999846
175	-22799.814458240002	-5882.51773968	-16844.826340720003	-72.47037783999986
176	-22785.440165999997	-5878.593218079999	-16837.8609436	-68.98600431999876
177	-22751.905432479998	-5858.773250079999	-16823.97668144	-69.15550095999788
178	-22814.91392784	-5897.289526959999	-16841.947411600002	-75.67698927999663
179	-22772.18464096	-5882.77676672	-16821.790332160002	-67.61754207999911
180	-22819.0429032	-5893.35823688	-16855.67808088	-70.00658543999816
181	-22792.326017839998	-5898.521307200001	-16835.356457359998	-58.448253279999335
182	-22783.368879200003	-5881.1021280800005	-16828.044350800003	-74.222400319999
183	-22797.16592976	-5898.68298368	-16822.15220888	-76.33073720000175
184	-22840.15155568	-5869.30037328	-16894.30128856	-76.54989384000146
185	-22707.549588719998	-5883.521010639999	-16752.91809	-71.1104880799976
186	-22734.12744024	-5863.37937144	-16802.78161936	-67.96644943999854
187	-22755.52761344	-5897.7621855200005	-16784.366219199997	-73.3992087200022
188	-22741.394713759997	-5870.72873624	-16790.16173456	-80.50424295999619
189	-22725.834776000003	-5898.4925988	-16765.55002896	-61.79214824000519
190	-22705.82616728	-5884.87499632	-16737.40623072	-83.54494024000087
191	-22708.335023120002	-5882.92334792	-16763.096931679996	-62.31474352000441
192	-22600.604239760003	-5875.2260232	-16672.328203679997	-53.05001288000494
193	-22692.45748664	-5859.86941616	-16771.80394304	-60.78412744000161
194	-22729.80238888	-5884.4242784	-16777.77136024	-67.60675024000011
195	-22704.03248576	-5872.28561728	-16773.2144524	-58.53241607999735
196	-22775.72756904	-5862.45079232	-16851.4239144	-61.852862319999986
197	-22808.039055600002	-5913.664367920001	-16838.23086592	-56.14382176000072
198	-22672.574231519997	-5875.5614021599995	-16723.1898164	-73.82301295999787
199	-22745.26986448	-5896.859746880001	-16773.99885856	-74.41125904
200	-22724.9904096	-5909.42496736	-16748.67301496	-66.89242727999954
201	-22763.122086	-5901.21736216	-16797.84444544	-64.0602783999966
202	-22715.68138048	-5862.8696659199995	-16782.38483752	-70.42687704000127
203	-22766.096315759998	-5884.6513712000005	-16820.63850952	-60.80643503999818
204	-22676.8568048	-5835.96424528	-16767.4901104	-73.40244912000344
205	-22710.129144479997	-5867.3953212	-16776.661648560003	-66.0721747199932
206	-22740.43805784	-5870.4181368	-16799.120075439998	-70.89984560000448
207	-22798.28636728	-5880.24311208	-16848.422379919997	-69.62087528000484
208	-22736.12190296	-5830.8077597599995	-16853.659472800002	-51.654670399999304
209	-22695.76395488	-5830.64057624	-16808.33957512	-56.78380352000022
210	-22723.26744144	-5883.41479944	-16779.4434404	-60.409201599999506
211	-22721.3020368	-5869.15616696	-16785.39530728	-66.75056256000244
212	-22639.02653056	-5852.86624808	-16729.580920639997	-56.57936184000209
213	-22742.284354960004	-5888.82360256	-16799.95411432	-53.50663808000172
214	-22743.24865776	-5871.82303592	-16808.796903759998	-62.62871808000273
215	-22762.15289432	-5859.683765440001	-16838.98501664	-63.48411223999938
216	-22755.020593039997	-5903.64075056	-16796.04461896	-55.33522351999636
217	-22713.947917760004	-5885.547222	-16767.213030079998	-61.18766568000501
218	-22778.150067840004	-5881.30351472	-16828.930383760002	-67.91616936000355
219	-22698.23481032	-5833.2306420800005	-16799.52371488	-65.48045335999632
220	-22728.435037439995	-5888.12345456	-16785.641785760003	-54.66979711999011
221	-22750.69919816	-5855.650489680001	-16832.50164016	-62.54706832000011
222	-22749.73307664	-5901.81429632	-16781.3665076	-66.55227272000047
223	-22742.50272	-5878.961427040001	-16803.32869056	-60.212602399999014
224	-22728.15914488	-5868.43575672	-16807.796296959998	-51.92709119999927
225	-22764.163055279998	-5913.47635584	-16789.607612879998	-61.07908655999927
226	-22785.18914712	-5900.8026696	-16826.272683680003	-58.113793839995196
227	-22781.8027956	-5905.898255679999	-16814.260545679997	-61.64399424000294
228	-22738.02616432	-5864.318900079999	-16823.83462256	-49.872641680001834
229	-22720.977396079998	-5893.3731398400005	-16768.11562552	-59.488630719995854
230	-22758.291214959998	-5909.7147217599995	-16777.26039872	-71.31609448000017
231	-22787.38940856	-5877.63339144	-16839.1436488	-70.61236832000213
232	-22724.24969504	-5876.97516344	-16792.40295128	-54.87158031999934
