frame	complex	receptor	ligand	dG
135	-22874.03147616	-5925.940078160001	-16880.991646	-67.09975199999826
136	-22868.30322072	-5973.16618296	-16822.30093192	-72.83610584000417
137	-22866.2109576	-5954.4064511199995	-16841.58588848	-70.2186180000026
138	-23007.494924720002	-5949.487356080001	-16983.785334559998	-74.22223408000355
139	-22894.307344399997	-5927.52456056	-16893.16916024	-73.61362359999839
140	-22890.13258032	-5959.62409304	-16862.56645328	-67.9420339999997
141	-22769.70789672	-5917.97322632	-16769.91707192	-81.81759848000002
142	-22889.5861168	-5919.83484968	-16889.781645040002	-79.96962207999968
143	-22827.30972208	-5960.45891664	-16791.95927672	-74.89152871999977
144	-22873.35800096	-5930.59678976	-16866.4410588	-76.32015239999964
145	-22794.626077440003	-5935.40658776	-16788.85523264	-70.3642570400043
146	-22861.331042719998	-5959.896487999999	-16827.423735599998	-74.01081912000154
147	-22838.968308400003	-5932.12691384	-16832.200332	-74.64106256000377
148	-22933.62097672	-5937.6430991199995	-16928.84908928	-67.12878832000206
149	-22904.46648976	-5970.27916128	-16847.263126399997	-86.92420208000476
150	-22868.36291472	-5946.917700320001	-16829.09565792	-92.34955647999959
151	-22812.25887464	-5923.04314848	-16794.89666472	-94.31906144000095
152	-22881.464578080002	-5934.21757552	-16865.30687624	-81.94012632000158
153	-22825.07836656	-5926.95993784	-16810.07266304	-88.04576568000266
154	-22848.696978	-5960.5171572	-16804.5182148	-83.66160600000148
155	-22923.55918792	-5936.0075067200005	-16905.03238184	-82.51929935999942
156	-22843.701917039998	-5950.43864088	-16822.19175872	-71.07151743999566
157	-22880.57155384	-5930.813359759999	-16884.681263920003	-65.07693015999757
158	-22900.11952472	-5913.907420799999	-16893.932507520003	-92.27959639999972
159	-22832.91392328	-5897.27685864	-16845.430607200004	-90.20645743999921
160	-22833.20975912	-5913.3222319999995	-16843.37609456	-76.51143256000069
161	-22822.71128016	-5901.9699724	-16830.9557464	-89.78556136000043
162	-22839.32947936	-5920.754427760001	-16841.4657052	-77.10934639999687
163	-22743.58254408	-5893.92742352	-16776.5372504	-73.11787016000017
164	-22856.994115679998	-5949.868457040001	-16824.205579999998	-82.9200786399997
165	-22805.938545200002	-5947.9955108	-16778.160164319997	-79.78287008000552
166	-22813.439264	-5920.23836056	-16808.283809200002	-84.91709423999782
167	-22840.952479519998	-5933.1772928	-16822.0729072	-85.70227951999914
168	-22824.12977808	-5952.19650712	-16793.63546192	-78.2978090400029
169	-22819.442357279997	-5931.02974408	-16807.953339839998	-80.45927336000022
170	-22882.88242576	-5970.773088160001	-16837.732412240002	-74.37692535999668
171	-22838.23670688	-5967.37658096	-16790.2975088	-80.56261712000196
172	-22862.38239712	-5914.5685604	-16866.6240656	-81.18977111999993
173	-22954.26469568	-5943.10412032	-16929.35764848	-81.8029268800019
174	-22812.814067919997	-5928.35938552	-16811.318967119998	-73.13571528000102
175	-22802.595655039997	-5926.47259224	-16795.58008688	-80.54297591999784
176	-22859.19018856	-5907.94569136	-16876.86508448	-74.37941271999807
177	-22833.483908719998	-5930.63233672	-16831.750751760002	-71.10082023999712
178	-22856.153707679998	-5943.32395824	-16838.209881919996	-74.61986751999939
179	-22898.06752096	-5922.800639919999	-16897.77247528	-77.49440576000416
180	-22799.15787016	-5905.59682136	-16816.220027919997	-77.34102088000509
181	-22758.555550639998	-5910.57310704	-16771.45906488	-76.52337871999771
