frame	complex	receptor	ligand	dG
252	-22918.977270159998	-5923.49418248	-16908.953461600002	-86.52962607999507
253	-22883.658776320004	-5933.805968479999	-16866.8739648	-82.978843040004
254	-22906.339184959998	-5944.7909647999995	-16874.72177	-86.82645015999879
255	-22962.86904392	-5947.1344133600005	-16923.02913752	-92.70549304000087
256	-22836.52632592	-5922.4157668	-16837.39934656	-76.7112125599997
257	-22871.734197119997	-5949.27242616	-16849.7363368	-72.72543415999826
258	-22872.83260528	-5913.233945440001	-16892.10790144	-67.49075839999932
259	-22889.833077839998	-5939.22173624	-16875.520124640003	-75.0912169599942
260	-22928.21337056	-5956.0539017599995	-16887.96921592	-84.19025288000194
261	-22905.06300424	-5910.6260839999995	-16905.39989032	-89.03702992000035
262	-22851.35399968	-5930.628752	-16827.605628399997	-93.11961928000164
263	-22889.736883040005	-5928.9442338399995	-16882.81136304	-77.98128616000395
264	-22842.876751519998	-5923.565018799999	-16827.27415472	-92.03757799999948
265	-22920.334156880002	-5949.1421865600005	-16890.51624768	-80.6757226400041
266	-22927.096687200003	-5912.56663336	-16928.15763416	-86.37241968000308
267	-22973.741646159997	-5938.77317944	-16950.721023600003	-84.2474431199953
268	-22987.50871536	-5949.05966024	-16947.7276228	-90.72143231999871
269	-22859.105357440003	-5908.0404908	-16870.813562	-80.25130464000176
270	-22897.19745536	-5932.09169128	-16884.01582336	-81.08994071999768
271	-22822.723889760004	-5936.336556480001	-16801.401136	-84.98619728000267
272	-22918.869917120002	-5960.14064232	-16870.173308960002	-88.55596584000159
273	-22851.61940632	-5939.14122344	-16819.98264392	-92.49553895999634
274	-22796.1784328	-5922.410998480001	-16794.897013280002	-78.87042103999556
275	-22935.28234344	-5929.1425051999995	-16929.471802639997	-76.66803560000335
276	-22896.650791840002	-5927.53698224	-16885.531882319996	-83.58192728000722
277	-22940.543010719997	-5928.33407656	-16935.74832984	-76.46060431999649
278	-22872.761009120004	-5913.2515388	-16885.132815999998	-74.37665432000722
279	-22879.86192248	-5931.0317864	-16869.840039040002	-78.99009703999764
280	-22843.79686544	-5941.45387008	-16818.71660048	-83.62639488000059
281	-22903.159911039995	-5935.21016168	-16881.59329904	-86.35645031999593
282	-22848.86622712	-5940.798447359999	-16828.843340879997	-79.22443888000271
283	-22867.335886560002	-5929.05255224	-16863.6490492	-74.63428512000246
284	-22788.971847520002	-5924.24752768	-16778.705215039998	-86.01910480000515
285	-22871.63473472	-5906.4987792	-16882.67748944	-82.4584660799992
286	-22873.46305432	-5947.707313280001	-16847.74359984	-78.01214120000077
287	-22850.012250080003	-5939.773235279999	-16836.15921456	-74.07980024000426
288	-22881.381710079997	-5941.18803088	-16850.718093199997	-89.47558600000048
289	-22825.94103552	-5938.71605552	-16805.101120320003	-82.12385967999944
290	-22841.34054624	-5957.745669200001	-16802.28652968	-81.30834735999815
291	-22904.40763232	-5944.16699376	-16877.800606160003	-82.44003239999438
292	-22947.75844744	-5955.54821504	-16915.49495264	-76.71527975999925
293	-22837.846341679997	-5930.72733192	-16827.78423736	-79.33477239999775
294	-22846.29146144	-5913.44840856	-16852.594538560003	-80.24851431999923
295	-22941.71098776	-5933.986722399999	-16938.328370720003	-69.39589464000164
296	-22928.5282344	-5940.555876320001	-16901.32715312	-86.6452049599975
297	-22837.716800000002	-5911.957075119999	-16838.23023792	-87.52948696000021
298	-22885.922933200003	-5921.39735	-16877.94083056	-86.58475264000299
299	-22872.72665448	-5944.68141408	-16846.670512239998	-81.37472816000445
300	-22841.3238464	-5933.7711904	-16826.03991	-81.51274600000033
301	-22865.332141280003	-5931.95243312	-16848.2013748	-85.17833336000331
302	-22877.52347768	-5936.6567904799995	-16855.8298288	-85.03685839999889
303	-22868.542759520005	-5900.42782544	-16885.90994584	-82.20498824000242
304	-22903.6029612	-5930.46975808	-16895.906042319995	-77.22716080000464
305	-22878.8771432	-5928.26371472	-16862.09510152	-88.51832695999838
306	-22796.963857200004	-5910.7571707199995	-16796.12095752	-90.0857289600026
307	-22843.431885759997	-5918.65917832	-16844.66492	-80.10778743999617
308	-22828.915658240003	-5936.593901280001	-16816.433294959996	-75.88846200000626
309	-22904.63098072	-5957.9262671199995	-16855.800406	-90.90430760000527
310	-22854.315809600004	-5931.74808992	-16832.43920024	-90.12851944000067
311	-22894.112775039997	-5951.397259280001	-16860.01265616	-82.70285959999455
312	-22894.783338639998	-5933.33371648	-16877.2438176	-84.2058045599988
313	-22979.09399816	-5940.9938348	-16964.63343064	-73.46673272000044
314	-22902.140380560002	-5949.39591104	-16875.302634239997	-77.44183528000576
315	-22904.842228640002	-5933.81233136	-16896.010726	-75.01917128000059
316	-22953.4249892	-5973.409004720001	-16903.316658800002	-76.69932567999786
317	-22893.44807704	-5961.79140448	-16861.93921712	-69.71745543999714
318	-22878.134916880004	-5978.3196100000005	-16819.992213359998	-79.82309352000448
319	-22901.980008320003	-5970.93341848	-16857.62722368	-73.41936616000385
320	-22854.04068296	-5906.58478448	-16857.4766404	-89.97925807999854
321	-22924.836095280003	-5949.617900559999	-16887.902762719998	-87.3154320000067
322	-22868.652539360002	-5961.96752976	-16830.4962156	-76.18879400000151
323	-22853.38768144	-5935.45521368	-16837.0144968	-80.91797095999937
324	-22885.23056128	-5935.797829600001	-16872.36785264	-77.06487904000096
325	-22868.799060560003	-5925.3894877600005	-16859.97028448	-83.43928832000165
326	-22904.519406159998	-5943.25244424	-16884.12499384	-77.14196807999906
327	-22893.54997928	-5930.27573984	-16878.44523728	-84.82900216000053
328	-22849.15466032	-5925.45297448	-16845.34260232	-78.35908352000115
329	-22877.69539368	-5933.9018594399995	-16861.59943736	-82.19409687999723
330	-22948.45318096	-5951.06307024	-16913.66568872	-83.72442199999932
331	-22832.845364639998	-5941.4385552799995	-16812.857974399998	-78.54883496000184
332	-22851.929619920003	-5954.5008388	-16825.26045728	-72.16832384000372
333	-22890.13265088	-5935.39627696	-16868.25889936	-86.4774745600007
334	-22934.63136472	-5959.469195920001	-16894.2550596	-80.90710920000129
335	-22901.13394432	-5948.432302240001	-16875.0989372	-77.60270487999878
336	-22940.051234320003	-5970.78072616	-16883.210218480002	-86.060289680001
337	-22917.2749896	-5951.915868640001	-16879.39595184	-85.96316911999747
