frame	complex	receptor	ligand	dG
78	-22839.113820159997	-5946.91529952	-16820.177984320002	-72.02053631999661
79	-22847.9874028	-5937.78864712	-16824.14592096	-86.05283472000156
80	-22825.334159520004	-5964.17626456	-16777.42008176	-83.7378132000049
81	-22852.738426000004	-5946.09828872	-16829.37377536	-77.26636192000296
82	-22917.53977944	-5960.93954368	-16890.79925736	-65.80097840000235
83	-22882.55671064	-5958.95601448	-16848.3664716	-75.23422456000117
84	-22770.020024880003	-5915.66572384	-16771.526304479998	-82.82799656000498
85	-22848.799564	-5956.34150328	-16805.093949680002	-87.36411103999853
86	-22820.7634916	-5927.189741199999	-16815.18640008	-78.3873503199975
87	-22869.3093696	-5935.88076536	-16846.779727920002	-86.6488763199959
88	-22880.20011984	-5965.20865432	-16830.44224472	-84.54922079999596
89	-22835.56942728	-5951.95162488	-16814.979259279997	-68.6385431200033
90	-22851.148550719998	-5961.73346824	-16815.294735040003	-74.12034743999538
91	-22878.906863840002	-5981.61283472	-16824.54033656	-72.7536925600034
92	-22784.2491644	-5947.58294544	-16776.79402296	-59.87219600000026
93	-22799.3228948	-5933.2434832	-16791.049436960002	-75.02997463999782
94	-22850.44418072	-5943.4564166400005	-16827.79807664	-79.18968743999721
95	-22773.541842480005	-5926.314288479999	-16773.52651184	-73.70104216000618
96	-22851.347725519998	-5947.71524784	-16821.33087648	-82.3016011999971
97	-22828.417125120002	-5923.35497464	-16835.55980912	-69.50234135999926
98	-22844.613518	-5915.829454479999	-16859.596831040002	-69.18723247999515
99	-22737.244976	-5922.4960844	-16736.50747488	-78.24141672000042
100	-22780.31022744	-5916.715010080001	-16792.84108096	-70.75413640000261
101	-22730.5221944	-5937.69262512	-16724.55241048	-68.27715880000324
102	-22786.518277519997	-5947.320481919999	-16758.297860079998	-80.89993551999942
103	-22794.426610720002	-5937.72459568	-16775.99267248	-80.70934256000328
104	-22814.59919776	-5965.67245536	-16780.04977792	-68.8769644799977
105	-22811.377247279997	-5939.7406384000005	-16788.78069344	-82.85591543999908
106	-22794.49431904	-5963.84243904	-16753.9777924	-76.67408760000035
107	-22847.4840652	-5962.649733519999	-16806.2105144	-78.62381727999673
108	-22857.62775024	-5953.324500639999	-16825.40933488	-78.89391471999988
109	-22819.64229704	-5956.113558159999	-16772.9636056	-90.56513328000074
110	-22891.48685608	-5931.330098640001	-16875.41411056	-84.74264687999676
