,complex,receptor,ligand,delta
191,-23902.950833040002,-6981.6902736,-16867.3034816,-53.95707784000115
192,-23929.47442536,-6996.294784560001,-16876.61292712,-56.56671367999661
193,-23942.026022559996,-7032.963129600001,-16849.239462240002,-59.82343071999276
194,-23864.971156959997,-6991.11492296,-16820.0959612,-53.76027279999835
195,-23911.241127999998,-7039.805983679999,-16821.62847128,-49.806673039998714
196,-23881.56180616,-6997.97784008,-16830.71640472,-52.86756136000258
197,-23910.27992,-7019.071655199999,-16845.9549716,-45.2532932000031
198,-23924.796310719998,-7026.62667048,-16851.424945839997,-46.7446944000003
199,-23918.61544352,-7011.775910959999,-16868.798358,-38.04117455999949
200,-23934.38259528,-7019.570492399999,-16852.1933524,-62.61875048000002
201,-23985.67939168,-7018.4302088,-16925.6233764,-41.62580648000221
202,-23925.924086720002,-7026.7691884,-16849.97717456,-49.177723759999935
203,-23882.42019008,-6995.272625360001,-16838.67056408,-48.47700063999946
204,-23905.0685552,-7014.543589839999,-16816.772839679998,-73.75212568000279
205,-23879.25194448,-7028.71017632,-16795.15498024,-55.386787919997005
206,-23878.51765424,-7008.57221776,-16817.97562528,-51.96981120000055
207,-23872.92533088,-6997.99744096,-16815.32664656,-59.60124336000081
208,-23900.637427039997,-7051.08362616,-16800.92010712,-48.633693759999005
209,-23952.17117896,-7026.945644160001,-16881.50517824,-43.720356559999345
210,-23973.499638080004,-7044.07793456,-16883.34271072,-46.078992800004926
211,-23940.44848096,-7051.163001280001,-16833.48978488,-55.79569479999918
212,-23852.27965896,-6996.7281924,-16799.43336432,-56.11810224000146
213,-23911.05132024,-7002.9152928799995,-16850.634361599998,-57.50166576000265
214,-23858.5922716,-6996.38102176,-16803.169657599996,-59.0415922400025
215,-23842.654319600002,-6999.5747875199995,-16793.424864560002,-49.65466752000066
216,-23875.74613144,-7002.767099760001,-16818.9514036,-54.027628079998976
217,-23919.880193920002,-6987.32603736,-16876.603446079997,-55.95071048000682
218,-23925.198873119996,-6986.7171420800005,-16883.51664544,-54.96508559999711
219,-23907.466526079996,-7007.36470632,-16852.16940224,-47.93241751999449
220,-23904.01262408,-6988.452578479999,-16869.95174464,-45.60830096000063
221,-23894.46560744,-6999.25851304,-16854.692529040003,-40.514565359997505
222,-23951.200332239998,-6970.086581919999,-16929.85935464,-51.254395680000016
223,-23843.0520044,-6988.54493024,-16807.0584216,-47.44865256000048
224,-24002.40753432,-7039.395664400001,-16916.67933192,-46.33253799999875
225,-23915.30573248,-7033.788573520001,-16839.75214168,-41.765017279998574
226,-23965.946346959998,-7023.285124880002,-16887.27215872,-55.389063359998545
227,-23981.61677704,-7019.84818312,-16915.32850856,-46.44008535999819
228,-23925.98016024,-7008.892020400001,-16861.73263104,-55.35550880000301
229,-23992.00485448,-7000.7506896800005,-16944.0138644,-47.240300400000706
230,-23968.8140756,-6995.204447760001,-16921.18845352,-52.42117431999941
231,-23970.2362324,-7033.837930799999,-16891.0061268,-45.39217479999934
232,-23944.52965656,-6998.434274079999,-16893.55864536,-52.53673712000091
233,-24004.13716272,-7051.15545312,-16900.18206984,-52.79963975999999
234,-24019.163547999997,-7062.70451552,-16913.4654368,-42.99359567999636
235,-24018.330425759996,-7029.471751360001,-16939.60912728,-49.24954711999453
236,-23999.469680640002,-7033.1292148,-16924.214720160002,-42.12574568000127
237,-24014.654331119997,-7027.4458150400005,-16944.880402,-42.32811407999907
238,-23953.102601040002,-7026.634264559999,-16887.91002784,-38.558308640003816
239,-23854.467110239995,-6970.114363680001,-16839.836710080002,-44.51603647999218
240,-23957.407949039996,-7027.80334656,-16898.69873584,-30.9058666399942
241,-23968.976421199997,-7014.53850376,-16896.59481312,-57.84310431999984
242,-23956.59988664,-7027.060226399999,-16881.468628000002,-48.07103224000093
243,-23980.241765680003,-6996.537822560001,-16930.734798319998,-52.96914480000487
244,-23917.08893888,-7016.677064640001,-16864.51983544,-35.89203879999695
245,-23941.115809439998,-7014.866886319999,-16870.06005336,-56.18886975999703
246,-23975.7163156,-7008.86409968,-16922.49113064,-44.361085280001134
247,-23957.2372936,-6996.73047104,-16915.39273512,-45.11408743999709
248,-23912.679855280003,-7018.17987128,-16852.21501504,-42.2849689600007
249,-23912.72573008,-6966.814400159999,-16903.00220848,-42.90912143999958
250,-24023.119401519998,-7022.27842808,-16959.66238944,-41.1785839999975
251,-23985.663628880004,-6989.2831236,-16939.89669,-56.48381528000391
252,-24001.68516672,-7022.337233280001,-16929.84301192,-49.50492152000152
253,-24014.63314464,-7017.949266719999,-16951.87681768,-44.80706024000028
254,-23991.83180584,-7014.468103599999,-16923.53514472,-53.82855751999887
255,-23926.35949424,-6998.8412924,-16883.860432639998,-43.657769200002804
256,-23940.627184560002,-6971.7129228,-16929.169835360004,-39.74442639999688
257,-23942.44505144,-6974.705298239999,-16921.54880392,-46.19094928000413
258,-23917.22460744,-7004.10674808,-16860.57714984,-52.54070951999893
259,-23946.93327496,-6984.97389424,-16906.92828952,-55.03109119999863
260,-23925.23934792,-6972.760861840001,-16909.16739816,-43.31108791999941
261,-23926.91584272,-6986.6767768,-16882.83545808,-57.403607839998585
262,-23879.72276192,-6948.19944856,-16873.81044672,-57.71286663999854
263,-23911.196854960002,-7016.717662159999,-16841.15824496,-53.32094784000583
264,-23960.32577584,-7009.2202884,-16893.19417544,-57.91131200000018
265,-23833.12127176,-6967.85901128,-16830.35077808,-34.91148239999893
266,-23849.972664560002,-6979.23037152,-16816.539877360003,-54.20241567999983
267,-23923.83981544,-6985.81275888,-16883.72262224,-54.30443432000175
268,-23939.060436480002,-6981.63766528,-16911.306263119997,-46.11650808000559
269,-23893.28089464,-6988.52697936,-16861.75947896,-42.994436320001114
270,-23929.85740568,-6991.98319816,-16887.758269759997,-50.11593776000154
271,-23853.626462879998,-6991.936253520001,-16817.99936664,-43.690842719996
272,-23961.913675120002,-6981.04393816,-16924.730177519996,-56.13955944000554
273,-23964.780285359997,-6988.52065024,-16924.77787424,-51.48176087999673
274,-23998.614920239997,-7007.0398036,-16942.244797360003,-49.330319279994
275,-23929.04384016,-7005.922306560001,-16896.894154319998,-26.227379280000605
276,-23972.406892320003,-7019.13217832,-16912.48338176,-40.79133224000179
277,-23959.00319952,-6990.869280080001,-16918.94788936,-49.18603007999991
278,-23970.3614648,-7006.17634008,-16908.9671064,-55.21801831999983
279,-24010.576912319997,-7030.52832392,-16941.372010479998,-38.676577919999545
280,-23970.29365144,-7003.77987552,-16918.716738720002,-47.79703719999816
281,-23961.617237280003,-7011.62289024,-16901.823906240003,-48.170440800000506
282,-23907.22639544,-7015.7402836,-16842.12975072,-49.356361120000656
283,-23917.088505839998,-7009.190392479999,-16849.362878480002,-58.535234879997006
284,-24001.30012592,-7003.658062399999,-16942.69938864,-54.942674879999686
285,-23948.542155920004,-6991.164876560001,-16912.57225208,-44.80502728000283
286,-23852.327328560004,-6984.38796584,-16831.43877272,-36.500590000003285
287,-23946.578599520002,-7004.5311211200005,-16906.49660736,-35.55087103999904
288,-23916.953608320004,-6957.092419920001,-16904.96824976,-54.892938640001375
289,-23949.0462616,-6996.98410856,-16901.748156960002,-50.313996079996286
290,-23917.783325039996,-7022.7978976,-16846.73334056,-48.25208687999475
291,-23920.88056976,-6991.247283120001,-16879.02979744,-50.603489199998876
292,-23925.54985112,-6995.51672952,-16896.148623920002,-33.88449767999555
293,-23979.32580128,-7027.29064704,-16898.73261968,-53.30253455999991
294,-23992.31070496,-7021.617628479999,-16944.39524296,-26.297833520002314
295,-23947.77366112,-7002.8128808,-16904.87327568,-40.08750464000332
296,-23955.093355680005,-7013.78626528,-16895.94710344,-45.35998696000388
297,-24022.569670720004,-7029.5592772,-16941.8889652,-51.12142832000245
298,-24056.63354832,-7045.25018328,-16958.745040640002,-52.63832439999533
299,-24045.04345128,-6995.18020016,-16998.94242408,-50.920827039997675
300,-23978.588237120002,-7035.14957872,-16901.61524488,-41.82341352000367
301,-23990.64118848,-7009.23930872,-16938.38058752,-43.02129223999873
302,-23873.46746464,-7005.0286708799995,-16811.1963732,-57.242420560003666
303,-23926.804391759997,-6997.500282640001,-16890.965673040002,-38.3384360799937
304,-23943.61444328,-6991.4222308,-16912.67178128,-39.52043119999871
305,-24021.283445840003,-7015.278318719999,-16962.59356144,-43.41156568000224
306,-23900.0817504,-7008.8876407200005,-16859.634838879996,-31.559270800004015
307,-23919.271526880002,-7014.0166752,-16869.51976112,-35.7350905600033
308,-23927.60942368,-7007.5744733599995,-16886.8797676,-33.1551827200019
309,-23897.10620984,-7009.81883816,-16856.91657576,-30.37079592000009
310,-23964.85973376,-7006.49833744,-16907.737238,-50.62415831999897
311,-24077.42015832,-7058.350922320001,-16986.152458480003,-32.916777519996685
312,-24044.914253440005,-7042.87567648,-16966.600952400004,-35.437624560003314
313,-24017.26745136,-7039.13165872,-16947.684719279998,-30.451073360003647
314,-24020.84736016,-6988.45961696,-17003.44549832,-28.942244879999635
315,-23969.820142560002,-7008.56585424,-16944.752648880003,-16.501639439997234
316,-24001.588642160004,-7013.64970936,-16950.17080456,-37.768128240004444
317,-23939.77930408,-6988.69968704,-16917.16751744,-33.91209959999833
318,-24024.07302856,-7028.3283588,-16970.65533112,-25.08933863999846
319,-23886.376539120003,-6997.846637040001,-16849.814842159998,-38.715059920003114
320,-23902.255284,-6944.402848079999,-16919.152232,-38.70020392000151
321,-23974.394636640005,-6955.9761822400005,-16993.46130576,-24.95714864000547
322,-23982.60091288,-7022.41412064,-16935.43590128,-24.750890960000106
323,-24001.321901440002,-6998.831050479999,-16973.01787608,-29.472974880001857
324,-23871.525868480003,-6927.91951328,-16908.8513032,-34.75505200000407
325,-23934.4136244,-6955.520915120001,-16950.03133976,-28.861369520000153
326,-23943.776574080002,-6966.9966268,-16944.514981599998,-32.264965680005844
327,-23955.0010608,-6984.97955888,-16940.174134,-29.84736791999967
328,-23951.49075168,-7000.4724328,-16921.351717679998,-29.666601200002333
329,-23935.5476156,-6959.640883519999,-16948.234807759996,-27.671924320005928
330,-23996.043598,-6992.53015192,-16968.8042216,-34.70922448000056
331,-23904.5768212,-6992.40402432,-16868.34540536,-43.827391520000674
332,-24003.03965072,-7015.701880560001,-16942.54087688,-44.79689327999586
333,-23971.653531919997,-7039.225280240001,-16896.43371272,-35.994538959996135
334,-23984.38761224,-6997.7624784,-16941.0364548,-45.58867903999999
335,-23984.44837808,-6986.989598239999,-16951.96252456,-45.49625527999888
336,-23942.56128312,-6995.07451632,-16900.4247252,-47.062041600001976
337,-23928.797609280005,-7012.15620496,-16864.997974,-51.64343032000397
338,-24016.38393512,-7039.84626568,-16925.97271008,-50.56495935999919
339,-23952.95035896,-7023.05586744,-16882.55568168,-47.33880983999552
340,-23987.590904000004,-7002.030384240001,-16934.06243392,-51.498085840001295
341,-23979.55112528,-6975.35109,-16963.66521808,-40.53481719999763
342,-23965.0115464,-6997.34213184,-16928.25230472,-39.417109840000194
343,-23997.147514559998,-7026.19445416,-16927.688389839997,-43.26467056000183
344,-23874.65602384,-6996.919206,-16834.376777520003,-43.360040319999825
345,-23939.061282240003,-7032.92810568,-16865.337324239998,-40.795852320006816
346,-23944.1169028,-7008.2133723199995,-16885.53454528,-50.3689852000025
347,-24032.160645199998,-6993.467979920001,-16996.101262400003,-42.59140287999253
348,-24008.565034559997,-7017.41011968,-16946.46372608,-44.69118879999587
349,-24011.3242176,-7058.2598155999995,-16928.92306848,-24.141333520001353
350,-23940.429319680003,-7031.7513224799995,-16877.2711388,-31.40685840000515
351,-23786.800720559997,-6993.1807007200005,-16758.711514799998,-34.908505039999
352,-23844.39233192,-7029.74927336,-16779.79811272,-34.84494583999913
353,-23844.844712320002,-6963.65302216,-16858.05080704,-23.1408831200024
354,-23919.038260880003,-7057.019369280001,-16821.17969648,-40.839195119999204
355,-23884.151165519997,-7016.5034248,-16838.03628008,-29.61146063999695
356,-23883.86516744,-6997.9971000000005,-16835.86206728,-50.00600015999953
357,-23810.406639599998,-6999.904215920001,-16771.65270424,-38.84971943999699
358,-23923.33332408,-7023.24192216,-16868.601281199997,-31.49012072000187
359,-23951.463548239997,-7000.93838968,-16893.902548719998,-56.62260984000022
360,-23896.120222400004,-7009.60253528,-16847.74351752,-38.774169600004825
361,-23942.804997919997,-6998.1228544,-16892.74880208,-51.933341439995274
362,-23974.90112808,-7013.0116145599995,-16912.30398112,-49.585532400000375
363,-23917.36869288,-6977.50296632,-16895.90424448,-43.96148208000159
364,-23874.60783992,-6986.023086720001,-16854.10895144,-34.47580175999974
365,-23924.47801328,-7009.75314656,-16871.10353592,-43.62133080000058
366,-23930.320677199998,-7023.30829408,-16877.430864,-29.581519119994482
367,-23911.389717519996,-7030.132376560001,-16849.1835636,-32.07377735999762
368,-23950.234413760005,-7023.27055464,-16876.632685120003,-50.33117400000265
369,-23912.19915712,-6987.3659956,-16872.06206552,-52.7710960000004
370,-23928.774912800003,-7010.9788787200005,-16860.815097519997,-56.98093656000492
371,-23938.600295999997,-6985.35043912,-16909.0300128,-44.2198440799948
372,-23866.80224384,-6967.015857279999,-16860.1741172,-39.61226936000094
373,-23994.726047759996,-7000.93101008,-16949.14942496,-44.64561271999628
374,-23923.852267519997,-6983.513294560001,-16902.2949872,-38.04398575999585
375,-23986.10018448,-7007.8225783200005,-16936.22958064,-42.04802552000183
376,-23951.04001624,-7023.809401119999,-16887.782052720002,-39.44856239999717
377,-23951.07469776,-7049.4683884,-16874.62058784,-26.98572151999906
378,-23979.545973359996,-7000.14542968,-16942.45956088,-36.940982799995254
379,-23990.305237120003,-7021.250322559999,-16929.10594112,-39.94897344000492
380,-24007.32327792,-7011.827337680001,-16950.90749872,-44.58844152000165
381,-24028.20971376,-6989.230135600001,-17001.22553064,-37.75404752000031
382,-23950.741174079998,-6985.32992688,-16921.85826776,-43.552979439999035
383,-24029.51795928,-7006.80304816,-16982.98998496,-39.724926160000905
384,-24006.244132159998,-6976.09291352,-16980.82604104,-49.325177599996096
