,complex,receptor,ligand,delta
83,-23919.77746664,-6921.40016176,-16943.53734632,-54.839958559998195
84,-23858.556884240003,-6915.146047040001,-16899.53821056,-43.87262664000082
85,-23815.67838672,-6929.41172256,-16845.95204856,-40.31461560000025
86,-23847.1750068,-6943.4177196,-16854.53761504,-49.21967216000121
87,-23848.79952424,-6956.6976356000005,-16838.62509728,-53.47679135999715
88,-23868.84830096,-6953.83968648,-16874.70109184,-40.30752263999966
89,-23913.47316272,-6968.785669919999,-16897.55095008,-47.13654272000349
90,-23903.18773872,-6966.44569136,-16899.46730288,-37.27474448000066
91,-23857.658543600002,-6926.058167839999,-16892.7988848,-38.80149096000241
92,-23916.618851839998,-6941.1539412,-16921.32179944,-54.143111199995474
93,-23863.79192832,-6931.53472824,-16873.208744,-59.048456079999596
94,-23800.858513440002,-6931.93534952,-16822.771303600002,-46.15186031999838
95,-23890.941316559998,-6965.427832480001,-16878.72744584,-46.78603823999947
96,-23897.734376239998,-6919.53305704,-16919.602273919998,-58.5990452799997
97,-23852.78135704,-6949.70792784,-16856.57506216,-46.49836703999972
98,-23863.679410399996,-6973.6913252,-16839.431238719997,-50.55684647999806
99,-23998.03251136,-6939.67039192,-17006.33145632,-52.0306631200001
100,-23914.83688992,-6955.072158239999,-16913.25402424,-46.51070744000026
101,-23883.499669920002,-6993.9729944,-16846.5439964,-42.98267912000301
102,-23951.99799168,-7011.04233976,-16890.195172240004,-50.760479679996934
103,-23920.92119232,-6996.365748640002,-16880.182397200002,-44.37304647999554
104,-23851.2786,-6952.819411279999,-16849.18447992,-49.274708799999644
105,-23901.12243072,-6952.91656512,-16894.1261492,-54.0797163999996
106,-23965.857028,-6986.9088003199995,-16928.73469648,-50.21353119999549
107,-23854.068333919997,-6959.431002079999,-16838.48613664,-56.15119519999644
108,-23946.13112648,-6954.34852032,-16948.33191864,-43.45068751999861
109,-23888.404136559995,-6952.793616880001,-16890.89335816,-44.71716151999499
110,-23816.106330559996,-6955.746335840001,-16813.44600968,-46.91398503999517
111,-23927.66155448,-6951.37564832,-16934.5242012,-41.76170495999759
112,-23796.59046312,-6941.123259360001,-16815.37622152,-40.09098223999899
113,-23929.44274952,-6967.9850104,-16917.517326319998,-43.94041280000238
114,-23874.448690079997,-6927.20795752,-16895.48312624,-51.75760631999583
115,-23863.197627360005,-6952.802274080001,-16861.79238888,-48.602964400004566
116,-23900.83301968,-6962.56346368,-16896.10713272,-42.16242328000226
117,-23892.322218479996,-6939.26628056,-16907.02200656,-46.03393135999431
118,-23985.53439984,-6951.2505776,-16979.524120320002,-54.75970191999659
119,-23946.479282239998,-6949.072216,-16952.28594728,-45.12111895999624
120,-23934.20856608,-6958.343827839999,-16923.80203128,-52.06270696000138
121,-23880.88812664,-6921.58998008,-16913.940118079998,-45.35802848000094
122,-23962.849260240004,-6962.009801120001,-16965.0771364,-35.76232272000561
123,-23933.864748719996,-6972.84989952,-16915.53270512,-45.48214407999694
124,-23863.747071679998,-6924.2214700800005,-16895.66331912,-43.86228247999679
